Year Ending,TTM,2023-10-28,2022-10-29,2021-10-30,2020-10-31,2019-11-02,2018-11-03,2017-10-28,2016-10-29,2015-10-31,2014-11-01,2013-11-02,2012-11-03,2011-10-29,2010-10-30,2009-10-31,2008-11-01,2007-11-03,2006-10-28,2005-10-29,2004-10-30,2003-11-01,2002-11-02,2001-11-03,2000-10-28,1999-10-30,1998-10-31,1997-11-01,1996-11-02,1995-10-28,1994-10-29
Revenue,10465,12306,12014,7318,5603,5991,6225,5246,3421,3435,2865,2634,2701,2993,2762,2015,2583,2465,2250,2135,2634,2047,1708,2277,2578,1450,1231,1243,1194,942,773
Revenue Growth (YoY),-18.69%,2.43%,64.16%,30.61%,-6.48%,-3.75%,18.65%,53.34%,-0.40%,19.91%,8.77%,-2.50%,-9.76%,8.39%,37.05%,-21.99%,4.80%,9.54%,5.40%,-18.95%,28.65%,19.90%,-25.01%,-11.66%,77.72%,17.86%,-1.04%,4.16%,26.79%,21.73%,
Cost of Revenue,4202,4428,4481,2793,1913,1977,1974,2078,1194,1176,1035,941,960,1007,962,896,1006,956,856,853,1080,923,803,1008,1117,736,642,623,593,465,394
Gross Profit,6262,7877,7532,4525,3690,4014,4250,3168,2227,2259,1830,1692,1741,1987,1799,1119,1577,1508,1394,1281,1554,1124,905,1269,1461,715,588,621,601,477,379
"Selling, General & Admin",1157,1274,1266,915,660,648,696,691,461,479,455,396,397,407,391,333,416,390,384,333,340,288,257,287,293,210,207,192,196,185,170
Research & Development,1577,1660,1701,1296,1051,1130,1165,968,654,637,560,513,512,506,492,447,533,510,460,438,514,453,424,465,390,253,219,196,178,134,107
Other Operating Expenses,992,1120,1287,621,482,525,490,347,84,312,63,30,9,2,16,54,3,40,24,31,0,10,105,109,11,9,4,0,0,0,0
Operating Expenses,3726,4054,4254,2833,2192,2303,2351,2005,1199,1428,1078,939,917,915,899,834,952,940,867,803,854,750,786,861,694,472,431,388,374,319,277
Operating Income,2536,3823,3279,1692,1498,1711,1900,1163,1028,831,752,753,824,1072,900,285,625,569,526,479,699,374,118,408,767,243,158,233,227,158,102
Interest Expense / Income,295,265,200,185,193,229,254,251,89,27,35,27,26,19,10,4,0,0,0,0,0,32,44,62,6,10,13,13,11,4,7
Other Expense / Income,-44,-50,-20,179,-7,-4,-9,-23,-18,-6,-12,-89,-16,-15,-13,-17,-302,-88,-142,-111,-34,-40,-67,-162,-104,-25,31,-15,-15,-6,-2
Pretax Income,2285,3608,3099,1329,1312,1486,1655,935,957,810,729,815,814,1068,903,298,927,656,668,589,733,382,140,507,866,258,113,236,231,159,97
Income Tax,144,293,350,-62,91,123,148,129,95,113,100,142,162,201,190,50,141,160,118,174,162,84,35,151,259,61,31,58,59,40,22
Net Income,2140,3315,2749,1390,1221,1363,1507,805,862,697,629,673,651,867,712,248,786,497,549,415,571,298,105,356,607,197,82,178,172,119,74
Net Income Growth,-40.94%,20.59%,97.68%,13.90%,-10.44%,-9.55%,87.11%,-6.53%,23.65%,10.74%,-6.56%,3.42%,-24.92%,21.81%,187.39%,-68.49%,58.24%,-9.57%,32.47%,-27.32%,91.34%,183.27%,-70.45%,-41.30%,208.47%,138.83%,-53.76%,3.68%,44.13%,60.10%,
Shares Outstanding (Basic),496,502,519,397,369,369,370,346,309,313,313,308,299,299,297,291,293,323,359,372,375,365,364,359,353,336,323,319,307,317,309
Shares Outstanding (Diluted),499,506,523,401,372,373,375,350,312,317,318,314,306,308,306,293,297,332,371,383,393,382,381,382,381,363,356,355,343,,
Shares Change,-2.00%,-3.29%,30.37%,7.88%,-0.24%,-0.55%,6.98%,12.22%,-1.44%,-0.36%,1.27%,2.56%,-0.66%,0.78%,4.50%,-1.48%,-10.59%,-10.42%,-3.26%,-2.39%,2.78%,0.26%,-0.19%,0.21%,5.03%,2.01%,0.32%,3.46%,7.98%,2.70%,
EPS (Basic),4.30,6.60,5.29,3.50,3.31,3.68,4.05,2.32,2.79,2.23,2.01,2.19,2.18,2.90,2.39,0.85,2.69,1.54,1.53,1.12,1.52,0.82,0.29,1.00,1.71,0.58,0.37,0.56,0.56,0.38,0.24
EPS (Diluted),4.28,6.55,5.25,3.46,3.28,3.65,4.00,2.29,2.76,2.20,1.98,2.14,2.13,2.81,2.33,0.85,2.65,1.50,1.48,1.08,1.45,0.78,0.28,0.93,1.59,0.55,0.36,0.52,0.52,,
EPS Growth,-39.20%,24.76%,51.73%,5.49%,-10.14%,-8.75%,74.67%,-17.03%,25.45%,11.11%,-7.48%,0.47%,-24.20%,20.60%,174.12%,-67.92%,76.67%,1.35%,37.04%,-25.52%,85.90%,178.57%,-69.89%,-41.51%,189.09%,52.78%,-30.77%,0.97%,,,
Free Cash Flow Per Share,6.18,7.08,7.27,6.02,5.00,5.36,5.91,2.74,3.77,2.41,2.22,2.57,2.28,2.60,2.96,1.29,1.75,2.10,1.38,1.58,1.69,1.00,0.46,1.52,1.22,1.09,0.22,0.33,-0.29,-0.01,0.31
Dividend Per Share,3.50,3.34,2.97,2.69,2.40,2.10,1.89,1.77,1.66,1.57,1.45,1.32,1.15,0.94,0.84,0.80,0.76,0.70,0.56,0.32,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividend Growth,11.46%,12.46%,10.41%,12.08%,14.29%,11.11%,6.78%,6.63%,5.73%,8.28%,9.85%,14.78%,22.34%,11.90%,5.00%,5.26%,8.57%,25.00%,75.00%,60.00%,,,,,,,,,,,
Gross Margin,59.84%,64.01%,62.70%,61.83%,65.87%,67.00%,68.28%,60.39%,65.10%,65.77%,63.89%,64.26%,64.45%,66.37%,65.16%,55.52%,61.07%,61.19%,61.94%,60.02%,58.99%,54.91%,52.97%,55.73%,56.68%,49.28%,47.82%,49.94%,50.33%,50.66%,49.00%
Operating Margin,24.23%,31.07%,27.29%,23.12%,26.74%,28.55%,30.52%,22.16%,30.05%,24.19%,26.27%,28.59%,30.51%,35.81%,32.59%,14.14%,24.20%,23.07%,23.39%,22.42%,26.55%,18.25%,6.92%,17.91%,29.76%,16.75%,12.82%,18.75%,19.03%,16.76%,13.16%
Profit Margin,20.45%,26.94%,22.88%,19.00%,21.79%,22.75%,24.21%,15.35%,25.18%,20.29%,21.97%,25.57%,24.11%,28.98%,25.79%,12.30%,30.44%,20.16%,24.42%,19.43%,21.67%,14.57%,6.17%,15.65%,23.55%,13.57%,6.70%,14.33%,14.40%,12.67%,9.63%
Free Cash Flow Margin,29.28%,28.90%,31.43%,32.68%,32.89%,33.01%,35.14%,18.11%,34.02%,21.95%,24.21%,29.97%,25.26%,25.98%,31.85%,18.66%,19.82%,27.53%,21.93%,27.51%,23.99%,17.91%,9.88%,24.00%,16.67%,25.16%,5.79%,8.55%,-7.56%,-0.26%,12.38%
Effective Tax Rate,6.31%,8.13%,11.30%,-4.64%,6.93%,8.26%,8.96%,13.84%,9.95%,13.98%,13.71%,17.40%,19.95%,18.78%,21.10%,16.80%,15.20%,24.31%,17.72%,29.59%,22.11%,21.88%,24.97%,29.74%,29.87%,23.58%,27.32%,24.44%,25.50%,25.19%,23.13%
EBITDA,4764,6166,5597,2588,2058,2526,2708,1770,1255,1059,906,953,950,1205,1034,442,1081,811,840,745,886,582,423,780,1028,410,254,352,326,228,165
EBITDA Margin,45.53%,50.11%,46.58%,35.37%,36.73%,42.16%,43.50%,33.73%,36.69%,30.84%,31.63%,36.18%,35.16%,40.27%,37.44%,21.93%,41.84%,32.91%,37.33%,34.88%,33.62%,28.45%,24.76%,34.27%,39.89%,28.29%,20.66%,28.30%,27.29%,24.19%,21.38%
Depreciation & Amortization,2184,2293,2297,1075,553,811,799,584,210,222,142,110,110,118,121,140,153,155,172,156,153,168,238,210,157,143,128,104,84,64,61
EBIT,2580,3873,3299,1514,1505,1715,1909,1186,1046,837,764,842,840,1087,913,302,927,656,668,589,733,414,185,570,872,268,127,248,242,164,104
EBIT Margin,24.65%,31.47%,27.46%,20.68%,26.86%,28.62%,30.67%,22.60%,30.56%,24.37%,26.67%,31.99%,31.10%,36.32%,33.06%,14.98%,35.90%,26.63%,29.68%,27.60%,27.83%,20.23%,10.82%,25.02%,33.81%,18.46%,10.29%,19.97%,20.27%,17.38%,13.45%